Date,EUR,JPY,GBP,CNY
2016-11-07,0.90535,104.253601,0.806898,6.7727
2016-11-08,0.9078,104.918099,0.808243,6.785982
2016-11-09,0.9159,105.5949,0.805643,6.782134
2016-11-10,0.9184,106.314501,0.796925,6.796298
2016-11-11,0.92105,106.5436,0.793608,6.809001
2016-11-12,0.92105,106.6433,0.793608,6.812115
2016-11-13,0.9237,106.8369,0.795355,6.813347
2016-11-14,0.93045,107.9278,0.799135,6.84336
2016-11-15,0.9324,108.832,0.80335,6.856064
2016-11-16,0.9338,108.669,0.80334,6.838743
2016-11-17,0.941,110.045201,0.80561,6.874984
2016-11-18,0.94435,110.5671,0.80982,6.879725
2016-11-19,0.94435,110.8167,0.80982,6.887336
2016-11-20,0.94495,111.0243,0.81123,6.888847
2016-11-21,0.94045,110.766599,0.800478,6.890601
2016-11-22,0.94045,111.001099,0.805058,6.890176
2016-11-23,0.94835,112.2781,0.804715,6.913881
2016-11-24,0.94695,112.901499,0.803125,6.916908
2016-11-25,0.9439,113.177099,0.8011,6.918797
2016-11-26,0.9439,113.223899,0.8011,6.91981
2016-11-27,0.9434,112.9563,0.802078,6.91926
2016-11-28,0.94175,112.08,0.805655,6.910783
2016-11-29,0.939,112.444401,0.800468,6.89948
2016-11-30,0.94395,114.1177,0.799233,6.889449
2016-12-01,0.93775,113.831701,0.794155,6.885607
2016-12-02,0.9375,113.6649,0.78546,6.88479
2016-12-03,0.9375,113.5755,0.78546,6.883852
2016-12-04,0.94835,113.3755,0.790608,6.879803
2016-12-05,0.9294,113.796399,0.785918,6.881663
2016-12-06,0.93275,113.974799,0.788863,6.900709
2016-12-07,0.9296,113.731199,0.792193,6.917776
2016-12-08,0.94175,114.070099,0.794853,6.882431
2016-12-09,0.94675,115.0069,0.795213,6.901008
2016-12-10,0.94675,115.1904,0.795213,6.904076
2016-12-11,0.94845,115.4592,0.79427,6.904277
2016-12-12,0.9397,114.9818,0.788803,6.906942
2016-12-13,0.94085,115.2445,0.789933,6.902365
2016-12-14,0.95115,116.7636,0.79809,6.903414
2016-12-15,0.9597,117.6408,0.804893,6.934145
2016-12-16,0.9585,117.939399,0.801698,6.952717
2016-12-17,0.956805,117.9245,0.800673,6.9592
2016-12-18,0.957231,117.808,0.800679,6.9593
2016-12-19,0.96127,117.0175,0.8073,6.954
2016-12-20,0.96239,117.825,0.808734,6.9508
2016-12-21,0.959058,117.6175,0.809527,6.9424
2016-12-22,0.958072,117.55153946,0.8139,6.9503
2016-12-23,0.956297,117.315,0.814478,6.9463
2016-12-24,0.95676,117.326,0.8144,6.9462
2016-12-25,0.956613,117.3205,0.813818,6.9463
2016-12-26,0.956544,117.19571429,0.814634,6.9457
2016-12-27,0.955966,117.4945,0.81471,6.9525
2016-12-28,0.960161,117.087625,0.81829,6.9591
2016-12-29,0.946388,116.31646756,0.814154,6.9553
2016-12-30,0.950209,116.89074712,0.810575,6.9448
2016-12-31,0.95034,116.9695,0.81019,6.9447
2017-01-01,0.949713,116.82243628,0.809782,6.9447
2017-01-02,0.956246,117.46016667,0.814263,6.945
2017-01-03,0.959901,117.641,0.816721,6.961
2017-01-04,0.952656,117.136,0.811425,6.9351
2017-01-05,0.942996,115.3357,0.805043,6.8889
2017-01-06,0.949217,116.95,0.813868,6.9185
2017-01-07,0.94942,116.991,0.81407,6.9182
2017-01-08,0.949641,117.152,0.815802,6.9184
2017-01-09,0.944733,115.98237692,0.821665,6.9377
2017-01-10,0.947656,115.8715,0.82143,6.9222
2017-01-11,0.943861,115.097,0.818935,6.9371
2017-01-12,0.941946,114.669,0.821955,6.9325
2017-01-13,0.939607,114.485,0.820968,6.8998
